ticker,date,open,high,low,close
KDA,2020-04-02,0.08397,0.08397,0.0809,0.08136
KDA,2020-04-03,0.08136,0.0893,0.07789,0.07858
KDA,2020-04-04,0.07858,0.08081,0.07817,0.07892
KDA,2020-04-05,0.07892,0.07903,0.07597,0.07619
KDA,2020-04-06,0.07619,0.08039,0.07612,0.07925
KDA,2020-04-07,0.07925,0.08101,0.07559,0.07628
KDA,2020-04-08,0.07628,0.0763,0.07379,0.07572
KDA,2020-04-09,0.07572,0.08138,0.07531,0.07941
KDA,2020-04-10,0.07941,0.08246,0.07409,0.08198
KDA,2020-04-11,0.08198,0.087,0.08147,0.08443
KDA,2020-04-12,0.08443,0.09153,0.08131,0.083
KDA,2020-04-13,0.083,0.083,0.07462,0.07826
KDA,2020-04-14,0.07826,0.0894,0.07737,0.07777
KDA,2020-04-15,0.07777,0.08452,0.07737,0.08439
KDA,2020-04-16,0.08439,0.08587,0.08428,0.085
KDA,2020-04-17,0.085,0.09234,0.08226,0.08293
KDA,2020-04-18,0.08293,0.08742,0.08284,0.08709
KDA,2020-04-19,0.08709,0.1364,0.08586,0.09981
KDA,2020-04-20,0.09981,0.1194,0.08468,0.08468
KDA,2020-04-21,0.08468,0.09355,0.08468,0.09213
KDA,2020-04-22,0.09213,0.1138,0.0907,0.09687
KDA,2020-04-23,0.09687,0.121,0.0966,0.1201
KDA,2020-04-24,0.1201,0.1309,0.1167,0.1297
KDA,2020-04-25,0.1297,0.1324,0.1141,0.1182
KDA,2020-04-26,0.1182,0.1182,0.1121,0.1137
KDA,2020-04-27,0.1137,0.1154,0.1129,0.114
KDA,2020-04-28,0.114,0.1176,0.1109,0.1166
KDA,2020-04-29,0.1166,0.1396,0.1166,0.1354
KDA,2020-04-30,0.1354,0.1365,0.1337,0.134
KDA,2020-05-01,0.134,0.1346,0.1171,0.1271
KDA,2020-05-02,0.1271,0.1357,0.1183,0.1265
KDA,2020-05-03,0.1265,0.131,0.1221,0.1245
KDA,2020-05-04,0.1245,0.1249,0.1184,0.1198
KDA,2020-05-05,0.1198,0.1496,0.1107,0.1494
KDA,2020-05-06,0.1494,0.1495,0.1133,0.1301
KDA,2020-05-07,0.1301,0.1721,0.13,0.1715
KDA,2020-05-08,0.1715,0.1722,0.1365,0.1581
KDA,2020-05-09,0.1581,0.1702,0.1447,0.1698
KDA,2020-05-10,0.1698,0.289,0.1288,0.2855
KDA,2020-05-11,0.2855,0.2889,0.155,0.2501
KDA,2020-05-12,0.2501,0.258,0.2113,0.2214
KDA,2020-05-13,0.2214,0.2705,0.2213,0.2365
KDA,2020-05-14,0.2365,0.29,0.2111,0.2435
KDA,2020-05-15,0.2435,0.2444,0.2224,0.2226
KDA,2020-05-16,0.2226,0.2801,0.2225,0.2496
KDA,2020-05-17,0.2496,0.2999,0.2362,0.2995
KDA,2020-05-18,0.2995,0.2999,0.2591,0.2681
KDA,2020-05-19,0.2681,0.4162,0.2681,0.3774
KDA,2020-05-20,0.3774,0.4249,0.3099,0.3709
KDA,2020-05-21,0.3709,0.3714,0.2899,0.2901
KDA,2020-05-22,0.2901,0.318,0.2819,0.3135
KDA,2020-05-23,0.3135,0.338,0.282,0.3369
KDA,2020-05-24,0.3369,0.3556,0.29,0.3273
KDA,2020-05-25,0.3273,0.33,0.277,0.2846
KDA,2020-05-26,0.2846,0.305,0.2676,0.3011
KDA,2020-05-27,0.3011,0.3096,0.27,0.2841
KDA,2020-05-28,0.2841,0.34,0.2841,0.3229
KDA,2020-05-29,0.3229,0.3329,0.2907,0.3202
KDA,2020-05-30,0.3202,0.3306,0.2909,0.3197
KDA,2020-05-31,0.3197,0.3748,0.295,0.3461
KDA,2020-06-01,0.3461,0.3478,0.2957,0.3388
KDA,2020-06-02,0.3388,0.4005,0.2999,0.4003
KDA,2020-06-03,0.4003,0.4101,0.3269,0.3648
KDA,2020-06-04,0.3648,0.3817,0.3366,0.3733
KDA,2020-06-05,0.3733,0.4648,0.3649,0.4328
KDA,2020-06-06,0.4328,0.5,0.4159,0.4297
KDA,2020-06-07,0.4297,0.4786,0.4,0.4401
KDA,2020-06-08,0.4401,0.47,0.4,0.401
KDA,2020-06-09,0.401,0.4066,0.37,0.3985
KDA,2020-06-10,0.3985,0.4288,0.3781,0.4046
KDA,2020-06-11,0.4046,0.4186,0.3697,0.3699
KDA,2020-06-12,0.3699,0.44,0.3699,0.4298
KDA,2020-06-13,0.4298,0.431,0.396,0.4007
KDA,2020-06-14,0.4007,0.4505,0.3963,0.4112
KDA,2020-06-15,0.4112,0.429,0.367,0.4092
KDA,2020-06-16,0.4092,0.4099,0.3679,0.3962
KDA,2020-06-17,0.3962,0.4364,0.3791,0.4006
KDA,2020-06-18,0.4006,0.4098,0.3818,0.4081
KDA,2020-06-19,0.4081,0.4487,0.4047,0.4131
KDA,2020-06-20,0.4131,0.4501,0.412,0.423
KDA,2020-06-21,0.423,0.4585,0.3999,0.4013
KDA,2020-06-22,0.4013,0.4296,0.3986,0.4074
KDA,2020-06-23,0.4074,0.408,0.3825,0.3949
KDA,2020-06-24,0.3949,0.3949,0.3818,0.3861
KDA,2020-06-25,0.3861,0.4146,0.3697,0.4133
KDA,2020-06-26,0.4133,0.4667,0.393,0.4294
KDA,2020-06-27,0.4294,0.4294,0.3699,0.4138
KDA,2020-06-28,0.4138,0.4142,0.3491,0.368
KDA,2020-06-29,0.368,0.4054,0.3543,0.37
KDA,2020-06-30,0.37,0.4053,0.3,0.3226
KDA,2020-07-01,0.3226,0.3375,0.2716,0.2743
KDA,2020-07-02,0.2743,0.3248,0.2504,0.2617
KDA,2020-07-03,0.2617,0.3052,0.2448,0.2695
KDA,2020-07-04,0.2695,0.2879,0.2506,0.2713
KDA,2020-07-05,0.2713,0.2801,0.2658,0.2772
KDA,2020-07-06,0.2772,0.2891,0.2527,0.2591
KDA,2020-07-07,0.2591,0.2856,0.2533,0.257
KDA,2020-07-08,0.257,0.2782,0.2413,0.2608
KDA,2020-07-09,0.2608,0.2835,0.2356,0.243
KDA,2020-07-10,0.243,0.279,0.237,0.2754
KDA,2020-07-11,0.2754,0.2807,0.2431,0.2801
KDA,2020-07-12,0.2801,0.2951,0.2672,0.2733
KDA,2020-07-13,0.2733,0.2827,0.2252,0.2666
KDA,2020-07-14,0.2666,0.2794,0.2418,0.2632
KDA,2020-07-15,0.2632,0.2747,0.2445,0.2593
KDA,2020-07-16,0.2593,0.2634,0.2474,0.2498
KDA,2020-07-17,0.2498,0.2749,0.2481,0.269
KDA,2020-07-18,0.269,0.2759,0.2555,0.2707
KDA,2020-07-19,0.2707,0.2747,0.2588,0.2693
KDA,2020-07-20,0.2693,0.2926,0.2625,0.288
KDA,2020-07-21,0.288,0.2906,0.2621,0.272
KDA,2020-07-22,0.272,0.2813,0.2699,0.2798
KDA,2020-07-23,0.2798,0.3239,0.2704,0.2814
KDA,2020-07-24,0.2814,0.3775,0.2814,0.3122
KDA,2020-07-25,0.3122,0.3613,0.3006,0.3471
KDA,2020-07-26,0.3471,0.3797,0.316,0.3613
KDA,2020-07-27,0.3613,0.3718,0.3012,0.3405
KDA,2020-07-28,0.3405,0.3466,0.2918,0.3154
KDA,2020-07-29,0.3154,0.3314,0.2997,0.301
KDA,2020-07-30,0.301,0.3439,0.3006,0.3178
KDA,2020-07-31,0.3178,0.3394,0.2899,0.3008
KDA,2020-08-01,0.3008,0.32,0.2947,0.3011
KDA,2020-08-02,0.3011,0.308,0.2754,0.2898
KDA,2020-08-03,0.2898,0.2931,0.2411,0.2582
KDA,2020-08-04,0.2582,0.2758,0.2471,0.2509
KDA,2020-08-05,0.2509,0.6039,0.2509,0.5637
KDA,2020-08-06,0.5637,0.6907,0.5365,0.6659
KDA,2020-08-07,0.6659,0.7099,0.5394,0.7034
KDA,2020-08-08,0.7034,0.7952,0.6654,0.7737
KDA,2020-08-09,0.7737,0.7987,0.6667,0.781
KDA,2020-08-10,0.781,0.8096,0.7042,0.793
KDA,2020-08-11,0.793,0.8031,0.5776,0.7039
KDA,2020-08-12,0.7039,0.7412,0.6025,0.667
KDA,2020-08-13,0.667,0.725,0.557,0.6747
KDA,2020-08-14,0.6747,0.7978,0.6687,0.767
KDA,2020-08-15,0.767,0.8645,0.6905,0.6923
KDA,2020-08-16,0.6923,0.799,0.6565,0.6729
KDA,2020-08-17,0.6729,0.7012,0.6023,0.6229
KDA,2020-08-18,0.6229,0.6596,0.5592,0.6112
KDA,2020-08-19,0.6112,0.6112,0.5161,0.5382
KDA,2020-08-20,0.5382,0.7177,0.5191,0.6893
KDA,2020-08-21,0.6893,0.6958,0.6003,0.6141
KDA,2020-08-22,0.6141,0.6628,0.5702,0.6095
KDA,2020-08-23,0.6095,0.6742,0.575,0.6222
KDA,2020-08-24,0.6222,0.7153,0.6023,0.6654
KDA,2020-08-25,0.6654,0.7157,0.6255,0.7157
KDA,2020-08-26,0.7157,0.717,0.6641,0.7136
KDA,2020-08-27,0.7136,0.7984,0.6993,0.7802
KDA,2020-08-28,0.7802,0.898,0.7293,0.7777
KDA,2020-08-29,0.7777,0.8201,0.7156,0.7424
KDA,2020-08-30,0.7424,0.8142,0.7195,0.7215
KDA,2020-08-31,0.7215,0.7911,0.632,0.6773
KDA,2020-09-01,0.6773,0.7113,0.577,0.6046
KDA,2020-09-02,0.6046,0.6715,0.5743,0.6637
KDA,2020-09-03,0.6637,0.7038,0.5659,0.6733
KDA,2020-09-04,0.6733,0.6767,0.5123,0.553
KDA,2020-09-05,0.553,0.6258,0.4786,0.5003
KDA,2020-09-06,0.5003,0.6412,0.482,0.5763
KDA,2020-09-07,0.5763,0.6167,0.4408,0.4904
KDA,2020-09-08,0.4904,0.6152,0.4379,0.4453
KDA,2020-09-09,0.4453,0.5357,0.4127,0.4926
KDA,2020-09-10,0.4926,0.5373,0.4715,0.5145
KDA,2020-09-11,0.5145,0.5203,0.4701,0.5085
KDA,2020-09-12,0.5085,0.5094,0.4336,0.476
KDA,2020-09-13,0.476,0.4989,0.4301,0.4613
KDA,2020-09-14,0.4613,0.4957,0.422,0.4672
KDA,2020-09-15,0.4672,0.4962,0.4207,0.477
KDA,2020-09-16,0.477,0.4816,0.3876,0.4153
KDA,2020-09-17,0.4153,0.4605,0.3827,0.4549
